Support,CB,Titre,Auteur,Localisation,Cote,Statut,"Année acquisition","Année publication","Nb prêts année","Nb réservations année","Nb prêts totaux"
PE,C3200005234,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2016,2003,3,0,3
PE,C3200004804,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,4,0,4
PE,C3200005186,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,6,0,6
PE,C2400000048,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,3,0,3
PE,C3200005423,"Canard PC","dir. de publ. Jérôme Darnaudet",MED1A,"P 31477 1°RDC 2°Prêt 1er étage",0,2016,2003,2,0,2
PE,C3200005510,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED3A,"P 31478 1°Prêt 3e étage",0,2016,1999,6,0,6
PE,C3200005529,"Canard PC hardware","dir. de publ. Jérôme Darnaudet",MED3A,"P 31556 Prêt 3e étage",0,2016,2012,5,0,5
LI,C2400000185,"IPad édition iOS 10 pour les nuls",,MED3A,"Doc./000 MAT",0,2017,2016,1,1,1
LI,C2400000208,"Bases de données","Jean-Luc Hainaut",MED3A,"Doc./004 PRO",0,2017,2015,5,3,5
LI,C2400000219,"MacOS Sierra pour les nuls",,MED3A,"Doc./006 MAC",0,2017,2016,0,0,
LI,C2400000218,"Gérer mon univers Apple","Paul Durand Degranges",MED3A,"Doc./006 MAC",0,2017,2016,1,0,1
LI,C2400000216,"La boîte à outils des réseaux sociaux","Cyril Bladier",MED3A,"Doc./002 SOC",0,2017,2016,3,2,3
LI,C2400000200,AngularJS,"[Sébastien Ollivier, Pierre-Alexandre Gury]",MED3A,"Doc./004 PRO",0,2017,2015,2,0,2
LI,C2400000190,"Intelligence artificielle","Tristan Cazenave,...",MED3A,"Doc./000 ABC",0,2017,2011,4,0,4
LI,C2400000205,"Le grand livre d'Arduino","Erik Bartmann",MED3A,"Doc./000 MAT",0,2017,2014,3,0,3
LI,C2400000204,UNIX,"[Michel Dutreix]",MED3A,"Doc./006 LIN",0,2017,2015,4,1,4
LI,C2400000220,Node.js,"[Julien Fontanet, Olivier Lambert]",MED3A,"Doc./004 PRO",0,2017,2015,3,2,3
LI,C2400000191,"Les bases de données NoSQL et le big data","Rudi Bruchez",MED3A,"Doc./004 PRO",0,2017,2015,5,5,5
LI,C2400000189,"PowerPoint 2016","[Myriam Gris]",MED3A,"Doc./005 PRE",0,2017,2016,0,0,
LI,C2400000215,"Raspberry Pi A+, B+ et 2","Christian Tavernier",MED3A,"Doc./000 MAT",0,2017,2015,6,1,6
LI,C2400000214,"Tablettes Android","[Servane Heudiard]",MED3A,"Doc./000 MAT",0,2017,2016,1,0,1
LI,C2400000196,Cryptographie,"Pierre Vigoureux",MED3A,"Doc./002 ENJ",0,2017,2016,6,1,6
LI,C2400000197,"Facebook pour les nuls","Carolyn Abram, Leah Pearlman",MED3A,"Doc./002 SOC",0,2017,2016,0,0,
LI,C2400000186,"Office 2016","Wallace Wang",MED3A,"Doc./005 BUR",0,2017,2016,2,0,3
LI,C2400000187,"L'âge du faire","Michel Lallement",MED3A,"Doc./000 ABC",0,2017,2015,5,2,5
LI,C2400000188,"Créer son site Web",,MED3A,"Doc./002 WEB",0,2017,2016,2,4,2
LI,C2400000203,"Android 5","[Nazim Benbourahala]",MED3A,"Doc./006 MOB",0,2017,2015,4,0,4
