Thématique,Titre,"Numéro notice bib","1er destination","2e destination","empruntable ?",infos,Périodicité,"prix de l'abt","Nb prêts",Emprunteurs,"Prêts ex dist",Ex
Informatique,"Linux pratique essentiel",231925,"prêt 3e étage / Informatique",,oui,"abt avec linux magazine",bimestriel,0,56,27,13,6
Informatique,"Web design",266202,"RDC / Espace presse","prêt 3e étage / Informatique",oui,nouveau,mensuel,35,72,13,13,7
Informatique,"Windows & internet",259379,"RDC / Espace presse","prêt 3e étage / Informatique",oui,,mensuel,50,70,36,17,10
jardinage/maison/brico,"Ami des jardins et de la maison ",157964,"RDC / Espace presse","prêt 1er étage / Maison",oui,,mensuel,"39,5",175,66,29,12
jardinage/maison/brico,"Art et décoration",154792,"RDC / Espace presse","prêt 1er étage / Maison",oui,,mensuel,34,141,62,21,8
jardinage/maison/brico,"Déco idées",295218,"RDC / Espace presse","prêt 1er étage / Maison",oui,"nouveau ",bimestriel,55,7,7,1,1
jardinage/maison/brico,"Maisons à vivre",295217,"1er étage / Maison",,oui,"nouveau ",bimestriel,25,34,26,6,6
jardinage/maison/brico,"Maisons de charme",268791,,,oui,"abt supprimé",,0,59,38,8,5
jardinage/maison/brico,"Marie Claire maison",154831,"RDC / Espace presse","prêt 1er étage / Maison",oui,,bimestriel,21,111,46,18,11
jardinage/maison/brico,"Mon jardin & ma maison",154751,"RDC / Espace presse","prêt 1er étage / Maison",oui,,mensuel,40,245,73,46,19
jardinage/maison/brico,"Quatre saisons du jardinage ",157952,"prêt 1er étage / Maison",,oui,,bimestriel,34,72,40,11,5
jardinage/maison/brico,"Système D : bricolage, maison, jardin",157962,"RDC / Espace presse","prêt 1er étage / Maison",oui,,mensuel,49,122,34,25,12
jardinage/maison/brico,"Système D : bricothèmes",230016,"prêt 1er étage / Maison",,oui,,trimestriel,32,38,17,9,5
jardinage/maison/brico,"Viva déco",288268,"prêt 1er étage / Maison",,oui,nouveau,bimestriel,17,39,32,7,5
Jeunesse,"Arkéo junior",180249,,,oui,"Abt Supprimé",,0,27,16,13,6
Jeunesse,"Astrapi ",154607,"RDC / Espace presse","Prêt Jeunesse",oui,,bimensuel,100,595,140,128,44
Jeunesse,Baïka,293579,"Prêt Jeunesse",,oui,"nouveau ",trimestriel,38,3,2,3,7
Jeunesse,"Belles histoires",161337,"Prêt Jeunesse",,oui,,mensuel,72,303,88,50,15
Jeunesse,Biscoto,293674,"Prêt Jeunesse",,oui,"nouveau ",mensuel,40,1,1,1,9
Jeunesse,"Brico junior",157961,"Prêt Jeunesse",,oui,,trimestriel,22,11,8,9,6
Jeunesse,"Cosinus ",169110,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,55,25,12,21,11
Jeunesse,"Cram cram !",260864,"RDC / Espace presse","Prêt Jeunesse",oui,,bimestriel,35,17,11,12,6
Jeunesse,Georges,291538,,,,"Abt Supprimé",,0,10,5,4,4
Jeunesse,"Go english kids",268830,"Prêt Jeunesse",,oui,,bimestriel,28,102,35,19,6
Jeunesse,"Histoire junior",260863,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,55,29,21,19,12
Jeunesse,"Histoires pour les petits ",180272,"Prêt Jeunesse",,oui,,mensuel,59,151,53,39,11
Jeunesse,"Histoires vraies devenu Je lis des….",261766,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,69,66,31,30,16
Jeunesse,Hulotte,155011,"Prêt Jeunesse",,oui,,semestriel,25,11,4,7,2
Jeunesse,"I love english for kids",158062,"Prêt Jeunesse",,oui,,mensuel,70,189,81,45,11
Jeunesse,"Ideal brico junior",157961,"Prêt Jeunesse",,oui,,trimestriel,22,11,8,9,6
Jeunesse,"Images doc. ",157470,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,70,126,58,42,12
