code-barres,"date création exemplaire","date dernier retour exemplaire","nb prêts","code collection",lib1,lib2,lib3,lib4
C0003225560,2005-03-24,2015-09,120,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004214889,2006-01-26,2016-04,42,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003221621,2005-03-24,,42,J04,Jeunesse,Albums,"Albums enfants",
C0005840670,2013-08-02,2015-11,10,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003295133,2005-03-24,2015-01,9,JTHZZZZ,Jeunesse,Théâtre,,
C0003290395,2005-03-24,2016-06,71,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003290515,2005-03-24,,65,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003217622,2005-03-24,,65,J09,Jeunesse,BD,,
C0003714153,2005-03-24,2016-05,92,JDT60ZZ,Jeunesse,Documentaires,"Santé / Cuisine / Jeux et sports (enfants)",
C0005334766,2011-11-22,2015-04,33,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005284976,2010-07-09,,35,J11,Jeunesse,Documentaires,,
C0003316947,2005-03-24,,37,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003388342,2005-03-24,,86,J08,Jeunesse,Romans,"Premiers romans",
C0005139040,2014-04-11,2015-03,12,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004940561,2009-10-20,2015-03,65,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003884291,2005-03-24,,79,J09,Jeunesse,BD,,
C0004580002,2008-04-11,2016-09,100,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003312919,2005-03-24,2016-06,56,JABPFCO,Jeunesse,Albums,Comptines,
C0004840745,2009-04-07,2016-06,113,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004465210,2007-05-29,2014-07,105,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004487107,2007-10-31,2014-12,98,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003367451,2005-03-24,,50,JDT60ZZ,Jeunesse,Documentaires,"Santé / Cuisine / Jeux et sports (enfants)",
C0004527698,2007-09-05,2014-10,68,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003367647,2009-07-18,2016-03,19,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005540327,2012-10-10,2014-12,15,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003388164,2005-03-24,2014-07,54,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003382061,2005-03-24,2016-02,18,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0003175618,2005-03-24,2014-11,86,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003465576,2005-03-25,2015-04,65,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0003517315,2005-03-25,2016-04,61,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003517072,2005-03-25,2014-07,63,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003516733,2005-03-25,2015-02,96,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003447413,2005-03-25,2015-06,72,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004061511,2005-10-08,2016-06,102,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003446564,2005-03-25,2016-04,43,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0003427730,2005-03-25,2014-10,9,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003466093,2005-03-25,2016-03,73,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003467641,2005-03-25,2016-04,25,JABPFEV,Jeunesse,Albums,Eveil,
C0003461027,2005-03-25,2015-10,42,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004998865,2013-05-14,2015-07,13,JABLPZZ,Jeunesse,Albums,"Livres précieux",
C0004471025,2007-05-26,,43,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003464952,2005-03-25,2015-04,26,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0005243603,2011-10-07,2014-10,24,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005552467,2012-09-20,2015-04,36,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004318251,2008-05-13,,92,J09,Jeunesse,BD,,
C0005603801,2012-06-01,2016-03,30,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004670792,2008-02-05,2015-01,36,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004669759,2008-02-01,,41,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003494460,2005-03-25,2016-09,56,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005448357,2011-12-17,2015-05,58,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003494779,2005-03-25,2016-02,108,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003493464,2005-03-25,2015-01,55,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003451242,2005-03-25,2015-03,30,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003684968,2005-03-25,,5,J051,Jeunesse,Albums,"Albums Petits enfants",
C0003493715,2005-03-25,2015-01,45,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003531636,2005-03-25,2014-11,20,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0004643054,2007-12-21,2014-08,56,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003536555,2005-03-25,2014-10,33,JABEFDT,Jeunesse,Albums,Documentaires,
C0003498082,2005-03-25,2015-04,30,JMUEFZZ,Jeunesse,Musique,,
C0003918600,2005-08-05,2014-12,41,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005188950,2011-04-09,2015-06,38,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003546160,2005-03-25,2015-03,10,JABLAFI,Jeunesse,Albums,"Albums en langue étrangère",Fiction
C0003702928,2005-03-25,2015-04,71,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003702554,2005-03-25,2016-04,54,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005172991,2011-02-17,2014-12,49,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005194448,2011-06-29,2016-04,45,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003684007,2005-03-25,2016-04,52,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003703550,2009-11-28,2014-10,21,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
